,5_angelo,ERCZO ID_angelo,Original Sample Vial Label_angelo,Date Collected,Time Collected_angelo,Site_angelo,Location_angelo,Sample Type_angelo,Sample Type II_angelo,Tree Tag_angelo,Tree tag_angelo,Tree tag 2_angelo,Jasper's tree label_angelo,More text info 1_angelo,More text info 2_angelo,needs attention_angelo,Species (common)_angelo,Species (scientific)_angelo,Well water level (m)_angelo,Depth (m)_angelo,Depth (cm)_angelo,Depth (ft)_angelo,Gravimetric moisture content (g/g)_angelo,Collected by_angelo,Notes_angelo,Exclude?_angelo,dD Instrument_angelo,dO Instrument_angelo,HD run ID_angelo,dD_angelo,GB run ID_angelo,dO_angelo,Sample Vial Location_angelo,VMS Sleeve_angelo,VMS Port_angelo,Adjacent well groundwater depth at time of sampling (m)_angelo,Energetic State_angelo,Date collection started_angelo,Time collection started_angelo,"(obsolete, miscalculated) Gravimetric moisture content (g/g)_angelo","(obsolete, miscalculated) Gravimetric moisture content (g/g).1_angelo",FLAG_angelo,datetime_angelo,5_conger,ERCZO ID_conger,Original Sample Vial Label_conger,Time Collected_conger,Site_conger,Location_conger,Sample Type_conger,Sample Type II_conger,Tree Tag_conger,Tree tag_conger,Tree tag 2_conger,Jasper's tree label_conger,More text info 1_conger,More text info 2_conger,needs attention_conger,Species (common)_conger,Species (scientific)_conger,Well water level (m)_conger,Depth (m)_conger,Depth (cm)_conger,Depth (ft)_conger,Gravimetric moisture content (g/g)_conger,Collected by_conger,Notes_conger,Exclude?_conger,dD Instrument_conger,dO Instrument_conger,HD run ID_conger,dD_conger,GB run ID_conger,dO_conger,Sample Vial Location_conger,VMS Sleeve_conger,VMS Port_conger,Adjacent well groundwater depth at time of sampling (m)_conger,Energetic State_conger,Date collection started_conger,Time collection started_conger,"(obsolete, miscalculated) Gravimetric moisture content (g/g)_conger","(obsolete, miscalculated) Gravimetric moisture content (g/g).1_conger",FLAG_conger,datetime_conger,average_time_delta,average_datetime,average_dD,average_dO,cumRain,cumWYRain,cumSept_1_WYRain,waterYear,Sept_1_waterYear,previousRain,runningWeightedAvg_dD,runningWeightedAvg_dO
1439,,,,11/2/08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008-11-02 14:25:00,5086.0,,,14:25,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,,,,,,-42.7,,-6.76,,,,,,,,,,0.0,2008-11-02 14:25:00,0 days 00:00:00,2008-11-02 14:25:00,-42.7,-6.76,244.75440000000037,237.21060000000003,239.16640000000004,2009.0,2009.0,10.0,-42.7,-6.76
1445,,,,11/4/08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008-11-04 13:10:00,5089.0,,,13:10,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,,,,,,-55.4,,-8.88,,,,,,,,,,0.0,2008-11-04 13:10:00,0 days 00:00:00,2008-11-04 13:10:00,-55.4,-8.88,294.2082000000004,286.66440000000006,288.6202,2009.0,2009.0,49.4538,-53.263887590027885,-8.52342060557946
1447,,,,11/6/08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008-11-06 12:00:00,5090.0,,,12:00,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,,,,,,-14.9,,-4.6,,,,,,,,,,0.0,2008-11-06 12:00:00,0 days 00:00:00,2008-11-06 12:00:00,-14.9,-4.6,309.01640000000083,301.47260000000006,303.4284,2009.0,2009.0,14.808200000000454,-45.61394387439048,-7.741071665185407
1449,,,,11/9/08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008-11-09 13:30:00,5091.0,,,13:30,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,,,,,,-47.6,,-7.34,,,,,,,,,,0.0,2008-11-09 13:30:00,0 days 00:00:00,2008-11-09 13:30:00,-47.6,-7.34,325.501000000001,317.95720000000006,319.913,2009.0,2009.0,16.48460000000017,-45.97472147716814,-7.66821487526804
1451,,,,11/12/08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008-11-12 11:00:00,5092.0,,,11:00,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,,,,,,-8.7,,-3.13,,,,,,,,,,0.0,2008-11-12 11:00:00,0 days 00:00:00,2008-11-12 11:00:00,-8.7,-3.13,330.25080000000116,322.70700000000005,324.66280000000006,2009.0,2009.0,4.749800000000164,-44.12075135816619,-7.442493141102681
1453,,,,11/21/08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008-11-21 11:21:00,5093.0,,,11:21,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,,,,,,-26.6,,-4.86,,,,,,,,,,0.0,2008-11-21 11:21:00,0 days 00:00:00,2008-11-21 11:21:00,-26.6,-4.86,341.42680000000144,333.88300000000004,335.83880000000005,2009.0,2009.0,11.176000000000272,-42.28511330015992,-7.1719269651756
159,5317.0,,,12/15/08,12:20,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,,,,,,-44.94,,-8.45,,,,,,,,,,0.0,2008-12-15 12:20:00,5094.0,,,12:05,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,,,,,,-36.7,,-4.88,,,,,,,,,,0.0,2008-12-15 12:05:00,0 days 00:07:30,2008-12-15 12:27:30,-40.82,-6.664999999999999,363.2200000000018,355.67620000000005,357.63200000000006,2009.0,2009.0,21.793200000000354,-42.03656810850514,-7.085930708298545
163,5318.0,,,12/19/08,12:00,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,,,,,,-41.23,,-8.68,,,,,,,,,,0.0,2008-12-19 12:00:00,5095.0,,,12:00,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,,,,,,-36.7,,-8.13,,,,,,,,,,0.0,2008-12-19 12:00:00,0 days 00:00:00,2008-12-19 12:00:00,-38.965,-8.405000000000001,420.4970000000022,412.95320000000004,414.90900000000005,2009.0,2009.0,57.277000000000385,-41.089396019006834,-7.492688941578278
167,5319.0,,,12/22/08,11:30,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,,,,,,-60.87,,-9.28,,,,,,,,,,0.0,2008-12-22 11:30:00,5096.0,,,11:10,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,,,,,,-59.6,,-9.22,,,,,,,,,,0.0,2008-12-22 11:10:00,0 days 00:10:00,2008-12-22 11:40:00,-60.235,-9.25,502.9200000000024,495.37620000000004,497.33200000000005,2009.0,2009.0,82.42300000000023,-46.97396181314819,-8.032813586082616
171,5320.0,,,12/24/08,11:40,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,,,,,,-80.36,,-11.44,,,,,,,,,,0.0,2008-12-24 11:40:00,5097.0,,,11:20,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,,,,,,-74.6,,-10.5,,,,,,,,,,0.0,2008-12-24 11:20:00,0 days 00:10:00,2008-12-24 11:50:00,-77.47999999999999,-10.969999999999999,547.3446000000037,539.8008000000001,541.7566,2009.0,2009.0,44.42460000000125,-51.30940977036387,-8.450239761195323
175,5321.0,,,12/26/08,10:20,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,,,,,,-44.59,,-7.65,,,,,,,,,,0.0,2008-12-26 10:20:00,5098.0,,,10:30,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,,,,,,-38.9,,-6.7,,,,,,,,,,0.0,2008-12-26 10:30:00,-1 days +23:55:00,2008-12-26 10:15:00,-41.745000000000005,-7.175000000000001,608.2538000000053,600.71,602.6658000000001,2009.0,2009.0,60.90920000000165,-49.74967353628946,-8.242277355733362
183,5323.0,,,12/28/08,11:39,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,,,,,,-25.02,,-5.14,,,,,,,,,,0.0,2008-12-28 11:39:00,5099.0,,,11:27,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,,,,,,-23.8,,-4.89,,,,,,,,,,0.0,2008-12-28 11:27:00,0 days 00:06:00,2008-12-28 11:45:00,-24.41,-5.015,668.3248000000074,660.7810000000001,662.7368000000001,2009.0,2009.0,60.07100000000207,-46.23887222467208,-7.795139409885901
199,5325.0,,,12/29/08,15:25,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,,,,,,-13.21,,-3.86,,,,,,,,,,0.0,2008-12-29 15:25:00,5101.0,,,15:17,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,,,,,,-15.3,,-4.16,,,,,,,,,,0.0,2008-12-29 15:17:00,0 days 00:04:00,2008-12-29 15:29:00,-14.255,-4.01,692.3532000000082,684.8094000000001,686.7652,2009.0,2009.0,24.02840000000083,-44.559406991451795,-7.596382674080423
203,5326.0,,,1/2/09,12:30,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,,,,,,-31.34,,-5.52,,,,,,,,,,0.0,2009-01-02 12:30:00,5102.0,,,12:50,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,,,,,,-30.5,,-5.4,,,,,,,,,,0.0,2009-01-02 12:50:00,-1 days +23:50:00,2009-01-02 12:20:00,-30.92,-5.46,732.8662000000087,725.3224000000001,727.2782000000001,2009.0,2009.0,40.51300000000049,-43.45007110451901,-7.422623949081297
207,5327.0,,,1/5/09,12:00,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,,,,,,-48.83,,-6.92,,,,,,,,,,0.0,2009-01-05 12:00:00,5103.0,,,12:00,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,,,,,,-49.0,,-7.61,,,,,,,,,,0.0,2009-01-05 12:00:00,0 days 00:00:00,2009-01-05 12:00:00,-48.915,-7.265000000000001,749.6302000000093,742.0864000000001,744.0422000000001,2009.0,2009.0,16.76400000000058,-43.62800541023672,-7.417491822299656
211,5328.0,,,1/8/09,13:15,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,,,,,,-27.26,,-4.46,,,,,,,,,,0.0,2009-01-08 13:15:00,5104.0,,,12:45,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,,,,,,-29.9,,-5.6,,,,,,,,,,0.0,2009-01-08 12:45:00,0 days 00:15:00,2009-01-08 13:30:00,-28.58,-5.029999999999999,754.3800000000094,746.8362000000001,748.7920000000001,2009.0,2009.0,4.749800000000164,-43.49045441948963,-7.395668208032847
215,5329.0,,,1/22/09,11:03,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,,,,,,-50.88,,-7.03,,,,,,,,,,0.0,2009-01-22 11:03:00,5105.0,,,10:45,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,,,,,,-50.5,,-7.6,,,,,,,,,,0.0,2009-01-22 10:45:00,0 days 00:09:00,2009-01-22 11:12:00,-50.69,-7.3149999999999995,763.3208000000097,755.777,757.7328000000001,2009.0,2009.0,8.940800000000309,-43.612236086137806,-7.39430369013239
219,5330.0,,,2/5/09,12:00,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,,,,,,-67.26,,-9.29,,,,,,,,,,0.0,2009-02-05 12:00:00,5106.0,,,12:00,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,,,,,,-65.2,,-8.9,,,,,,,,,,0.0,2009-02-05 12:00:00,0 days 00:00:00,2009-02-05 12:00:00,-66.23,-9.094999999999999,770.86460000001,763.3208000000001,765.2766000000001,2009.0,2009.0,7.54380000000026,-43.93049880043311,-7.418234801352396
227,5332.0,,,2/6/09,12:00,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,,,,,,-57.95,,-9.62,,,,,,,,,,0.0,2009-02-06 12:00:00,6114.0,,20090206 C7-1,12:00,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,Kevin Simonin,laser run L27,,,,,-51.3,,-9.0,,,,,,,,,,0.0,2009-02-06 12:00:00,0 days 00:00:00,2009-02-06 12:00:00,-54.625,-9.309999999999999,814.7304000000105,807.1866000000001,809.1424000000001,2009.0,2009.0,43.86580000000049,-44.73936477199048,-7.56131622860255
